,income,gdpp,total_fer,life_expec,child_mort,dbscan_cluster,country
0,1610,553,5.82,56.2,90.2,-1,Afghanistan
1,9930,4090,1.65,76.3,16.6,0,Albania
2,12900,4460,2.89,76.5,27.3,0,Algeria
3,5900,3530,6.16,60.1,119.0,-1,Angola
4,19100,12200,2.13,76.8,10.3,0,Antigua and Barbuda
5,18700,10300,2.37,75.8,14.5,0,Argentina
6,6700,3220,1.69,73.3,18.1,0,Armenia
7,41400,51900,1.93,82.0,4.8,1,Australia
8,43200,46900,1.44,80.5,4.3,1,Austria
9,16000,5840,1.92,69.1,39.2,-1,Azerbaijan
10,22900,28000,1.86,73.8,13.8,-1,Bahamas
11,41100,20700,2.16,76.0,8.6,-1,Bahrain
12,2440,758,2.33,70.4,49.4,4,Bangladesh
13,15300,16000,1.78,76.7,14.2,0,Barbados
14,16200,6030,1.49,70.4,5.5,-1,Belarus
15,41100,44400,1.86,80.0,4.5,1,Belgium
16,7880,4340,2.71,71.4,18.8,0,Belize
17,1820,758,5.36,61.8,111.0,-1,Benin
18,6420,2180,2.38,72.1,42.7,0,Bhutan
19,5410,1980,3.2,71.6,46.6,-1,Bolivia
20,9720,4610,1.31,76.8,6.9,0,Bosnia and Herzegovina
21,13300,6350,2.88,57.1,52.5,-1,Botswana
22,14500,11200,1.8,74.2,19.8,0,Brazil
23,80600,35300,1.84,77.1,10.5,-1,Brunei
24,15300,6840,1.57,73.9,10.8,0,Bulgaria
25,1430,575,5.87,57.9,116.0,2,Burkina Faso
26,764,231,6.26,57.7,93.6,-1,Burundi
27,2520,786,2.88,66.1,44.4,4,Cambodia
28,2660,1310,5.11,57.3,108.0,2,Cameroon
29,40700,47400,1.63,81.3,5.6,1,Canada
30,5830,3310,2.67,72.5,26.5,0,Cape Verde
31,888,446,5.21,47.5,149.0,-1,Central African Republic
32,1930,897,6.59,56.5,150.0,-1,Chad
33,19400,12900,1.88,79.1,8.7,0,Chile
34,9530,4560,1.59,74.6,15.7,0,China
35,10900,6250,2.01,76.4,18.6,0,Colombia
36,1410,769,4.75,65.9,88.2,-1,Comoros
37,609,334,6.54,57.5,116.0,-1,"Congo, Dem. Rep."
38,5190,2740,4.95,60.4,63.9,-1,"Congo, Rep."
39,13000,8200,1.92,80.4,10.2,0,Costa Rica
40,2690,1220,5.27,56.3,111.0,2,Cote d'Ivoire
41,20100,13500,1.55,76.3,5.5,0,Croatia
42,33900,30800,1.42,79.9,3.6,0,Cyprus
43,28300,19800,1.51,77.5,3.4,0,Czech Republic
44,44000,58000,1.87,79.5,4.1,-1,Denmark
45,11100,5450,2.6,74.6,34.4,0,Dominican Republic
46,9350,4660,2.66,76.7,25.1,0,Ecuador
47,9860,2600,3.19,70.5,29.1,-1,Egypt
48,7300,2990,2.27,74.1,19.2,0,El Salvador
49,33700,17100,5.21,60.9,111.0,-1,Equatorial Guinea
50,1420,482,4.61,61.7,55.2,3,Eritrea
51,22700,14600,1.72,76.0,4.5,0,Estonia
52,7350,3650,2.67,65.3,24.1,-1,Fiji
53,39800,46200,1.87,80.0,3.0,1,Finland
54,36900,40600,2.03,81.4,4.2,1,France
55,15400,8750,4.08,62.9,63.7,-1,Gabon
56,1660,562,5.71,65.5,80.3,-1,Gambia
57,6730,2960,1.92,72.8,16.5,0,Georgia
58,40400,41800,1.39,80.1,4.2,1,Germany
59,3060,1310,4.27,62.2,74.7,3,Ghana
60,28700,26900,1.48,80.4,3.9,0,Greece
61,11200,7370,2.24,71.3,14.6,0,Grenada
62,6710,2830,3.38,71.3,35.4,-1,Guatemala
63,1190,648,5.34,58.0,109.0,2,Guinea
64,1390,547,5.05,55.6,114.0,2,Guinea-Bissau
65,5840,3040,2.65,65.5,37.6,-1,Guyana
66,1500,662,3.33,32.1,208.0,-1,Haiti
67,22300,13100,1.25,74.5,6.0,0,Hungary
68,38800,41900,2.2,82.0,2.6,1,Iceland
69,4410,1350,2.6,66.2,58.8,4,India
70,8430,3110,2.48,69.9,33.3,0,Indonesia
71,17400,6530,1.76,74.5,19.3,0,Iran
72,12700,4500,4.56,67.2,36.9,-1,Iraq
73,45700,48700,2.05,80.4,4.2,1,Ireland
74,29600,30600,3.03,81.4,4.6,-1,Israel
75,36200,35800,1.46,81.7,4.0,1,Italy
76,8000,4680,2.17,74.7,18.1,0,Jamaica
77,35800,44500,1.39,82.8,3.2,1,Japan
78,9470,3680,3.66,75.8,21.1,-1,Jordan
79,20100,9070,2.6,68.4,21.5,-1,Kazakhstan
80,2480,967,4.37,62.8,62.2,3,Kenya
81,1730,1490,3.84,60.7,62.7,-1,Kiribati
82,75200,38500,2.21,78.2,10.8,-1,Kuwait
83,2790,880,3.1,68.5,29.6,-1,Kyrgyz Republic
84,3980,1140,3.15,63.8,78.9,-1,Lao
85,18300,11300,1.36,73.1,7.8,0,Latvia
86,16300,8860,1.61,79.8,10.3,0,Lebanon
87,2380,1170,3.3,46.5,99.7,-1,Lesotho
88,700,327,5.02,60.8,89.3,-1,Liberia
89,29600,12100,2.41,76.1,16.6,-1,Libya
90,21100,12000,1.5,73.2,6.1,0,Lithuania
91,91700,105000,1.63,81.3,2.8,-1,Luxembourg
92,11400,4540,1.47,74.0,10.4,0,"Macedonia, FYR"
93,1390,413,4.6,60.8,62.2,3,Madagascar
94,1030,459,5.31,53.1,90.5,-1,Malawi
95,21100,9070,2.15,74.5,7.9,0,Malaysia
96,10500,7100,2.23,77.9,13.2,0,Maldives
